Last updated,States,Total Confirmed Cases,Active,Cured/Discharged/Migrated,Death,last_confirmed_covid_cases,last_cured_discharged,last_death,last_active_covid_cases,key
"30 Dec 2022, 08:00 IST (GMT+5:30)",Andaman and Nicobar,10746,5,10612,129,10742,10612,129,1,"30 Dec 2022, 08:00 IST (GMT+5:30)Andaman and Nicobar"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Andhra Pradesh,2339067,3,2324331,14733,2339067,2324331,14733,3,"30 Dec 2022, 08:00 IST (GMT+5:30)Andhra Pradesh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Arunachal Pradesh,66890,0,66594,296,66890,66594,296,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Arunachal Pradesh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Assam,746100,0,738065,8035,746100,738065,8035,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Assam"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Bihar,851387,23,839062,12302,851379,839062,12302,15,"30 Dec 2022, 08:00 IST (GMT+5:30)Bihar"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Chandigarh,99348,5,98162,1181,99348,98161,1181,6,"30 Dec 2022, 08:00 IST (GMT+5:30)Chandigarh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Chhattisgarh,1177752,7,1163599,14146,1177749,1163597,14146,6,"30 Dec 2022, 08:00 IST (GMT+5:30)Chhattisgarh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,11591,11587,4,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Dadra and Nagar Haveli and Daman and Diu"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Delhi,2007199,35,1980643,26521,2007188,1980632,26521,35,"30 Dec 2022, 08:00 IST (GMT+5:30)Delhi"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Goa,259082,21,255048,4013,259079,255040,4013,26,"30 Dec 2022, 08:00 IST (GMT+5:30)Goa"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Gujarat,1277564,45,1266476,11043,1277557,1266473,11043,41,"30 Dec 2022, 08:00 IST (GMT+5:30)Gujarat"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Haryana,1056606,40,1045852,10714,1056602,1045845,10714,43,"30 Dec 2022, 08:00 IST (GMT+5:30)Haryana"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Himachal Pradesh,312646,19,308414,4213,312644,308408,4213,23,"30 Dec 2022, 08:00 IST (GMT+5:30)Himachal Pradesh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Jammu and Kashmir,479416,22,474609,4785,479410,474608,4785,17,"30 Dec 2022, 08:00 IST (GMT+5:30)Jammu and Kashmir"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Jharkhand,442571,3,437237,5331,442570,437236,5331,3,"30 Dec 2022, 08:00 IST (GMT+5:30)Jharkhand"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Karnataka,4071949,1307,4030335,40307,4071893,4030311,40307,1275,"30 Dec 2022, 08:00 IST (GMT+5:30)Karnataka"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Kerala,6828304,1392,6755360,71552,6828245,6755304,71552,1389,"30 Dec 2022, 08:00 IST (GMT+5:30)Kerala"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Ladakh,29412,3,29178,231,29412,29178,231,3,"30 Dec 2022, 08:00 IST (GMT+5:30)Ladakh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Lakshadweep,11415,0,11363,52,11415,11363,52,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Lakshadweep"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Maharashtra,8136615,168,7988030,148417,8136588,7988008,148416,164,"30 Dec 2022, 08:00 IST (GMT+5:30)Maharashtra"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Manipur,139922,0,137773,2149,139922,137773,2149,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Manipur"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Meghalaya,96783,1,95158,1624,96783,95158,1624,1,"30 Dec 2022, 08:00 IST (GMT+5:30)Meghalaya"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Mizoram,238964,0,238238,726,238964,238238,726,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Mizoram"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Madhya Pradesh,1054918,4,1044138,10776,1054918,1044138,10776,4,"30 Dec 2022, 08:00 IST (GMT+5:30)Madhya Pradesh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Nagaland,35986,0,35204,782,35986,35204,782,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Nagaland"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Odisha,1336558,92,1327261,9205,1336552,1327256,9205,91,"30 Dec 2022, 08:00 IST (GMT+5:30)Odisha"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Puducherry,175510,7,173528,1975,175508,173528,1975,5,"30 Dec 2022, 08:00 IST (GMT+5:30)Puducherry"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Punjab,784206,47,764870,19289,784205,764867,19289,49,"30 Dec 2022, 08:00 IST (GMT+5:30)Punjab"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Rajasthan,1315463,91,1305719,9653,1315455,1305714,9653,88,"30 Dec 2022, 08:00 IST (GMT+5:30)Rajasthan"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Sikkim,44319,1,43819,499,44319,43819,499,1,"30 Dec 2022, 08:00 IST (GMT+5:30)Sikkim"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Tamil Nadu,3594401,68,3556284,38049,3594388,3556279,38049,60,"30 Dec 2022, 08:00 IST (GMT+5:30)Tamil Nadu"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Telengana,841330,69,837150,4111,841324,837142,4111,71,"30 Dec 2022, 08:00 IST (GMT+5:30)Telengana"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Tripura,108034,0,107094,940,108034,107094,940,0,"30 Dec 2022, 08:00 IST (GMT+5:30)Tripura"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Uttar Pradesh,2128108,47,2104428,23633,2128103,2104424,23633,46,"30 Dec 2022, 08:00 IST (GMT+5:30)Uttar Pradesh"
"30 Dec 2022, 08:00 IST (GMT+5:30)",Uttarakhand,449384,26,441607,7751,449379,441600,7751,28,"30 Dec 2022, 08:00 IST (GMT+5:30)Uttarakhand"
"30 Dec 2022, 08:00 IST (GMT+5:30)",West Bengal,2118612,58,2097022,21532,2118606,2097016,21532,58,"30 Dec 2022, 08:00 IST (GMT+5:30)West Bengal"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Andaman and Nicobar,10747,6,10612,129,10746,10612,129,5,"01 Jan 2023, 08:00 IST (GMT+5:30)Andaman and Nicobar"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Andhra Pradesh,2339069,4,2324332,14733,2339069,2324332,14733,4,"01 Jan 2023, 08:00 IST (GMT+5:30)Andhra Pradesh"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Arunachal Pradesh,66890,0,66594,296,66890,66594,296,0,"01 Jan 2023, 08:00 IST (GMT+5:30)Arunachal Pradesh"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Assam,746100,0,738065,8035,746100,738065,8035,0,"01 Jan 2023, 08:00 IST (GMT+5:30)Assam"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Bihar,851394,28,839064,12302,851388,839062,12302,24,"01 Jan 2023, 08:00 IST (GMT+5:30)Bihar"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Chandigarh,99350,7,98162,1181,99349,98162,1181,6,"01 Jan 2023, 08:00 IST (GMT+5:30)Chandigarh"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Chhattisgarh,1177758,10,1163602,14146,1177754,1163602,14146,6,"01 Jan 2023, 08:00 IST (GMT+5:30)Chhattisgarh"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,11591,11587,4,0,"01 Jan 2023, 08:00 IST (GMT+5:30)Dadra and Nagar Haveli and Daman and Diu"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Delhi,2007222,39,1980662,26521,2007208,1980657,26521,30,"01 Jan 2023, 08:00 IST (GMT+5:30)Delhi"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Goa,259083,20,255050,4013,259082,255048,4013,21,"01 Jan 2023, 08:00 IST (GMT+5:30)Goa"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Gujarat,1277573,43,1266487,11043,1277569,1266479,11043,47,"01 Jan 2023, 08:00 IST (GMT+5:30)Gujarat"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Haryana,1056614,43,1045857,10714,1056611,1045854,10714,43,"01 Jan 2023, 08:00 IST (GMT+5:30)Haryana"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Himachal Pradesh,312652,18,308421,4213,312647,308418,4213,16,"01 Jan 2023, 08:00 IST (GMT+5:30)Himachal Pradesh"
"01 Jan 2023, 08:00 IST (GMT+5:30)",Jammu and Kashmir,479419,24,474610,4785,479417,474610,4785,22,"01 Jan 2023, 08:00 IST (GMT+5:30)Jammu and Kashmir"
